a/c,a/t,c/b,phi,F,Mg
0.2,0.2,0.2,0,0.617,1.37284
0.2,0.2,0.2,0.19635,0.65,1.22969
0.2,0.2,0.2,0.3927,0.754,1.15093
0.2,0.2,0.2,0.58905,0.882,1.15248
0.2,0.2,0.2,0.7854,0.99,1.16007
0.2,0.2,0.2,0.98175,1.072,1.16466
0.2,0.2,0.2,1.1781,1.128,1.16576
0.2,0.2,0.2,1.37445,1.161,1.16607
0.2,0.2,0.2,1.5708,1.173,1.16721
0.2,0.2,0.2,1.76715,1.161,1.16607
0.2,0.2,0.2,1.9635,1.128,1.16576
0.2,0.2,0.2,2.15984,1.072,1.16466
0.2,0.2,0.2,2.35619,0.99,1.16007
0.2,0.2,0.2,2.55254,0.882,1.15248
0.2,0.2,0.2,2.74889,0.754,1.15093
0.2,0.2,0.2,2.94524,0.65,1.22969
0.2,0.2,0.2,3.14159,0.617,1.37284
0.2,0.4,0.2,0,0.724,1.60291
0.2,0.4,0.2,0.19635,0.775,1.45887
0.2,0.4,0.2,0.3927,0.883,1.34114
0.2,0.4,0.2,0.58905,1.009,1.31187
0.2,0.4,0.2,0.7854,1.122,1.30821
0.2,0.4,0.2,0.98175,1.222,1.32103
0.2,0.4,0.2,1.1781,1.297,1.33375
0.2,0.4,0.2,1.37445,1.344,1.34315
0.2,0.4,0.2,1.5708,1.359,1.34556
0.2,0.4,0.2,1.76715,1.344,1.34315
0.2,0.4,0.2,1.9635,1.297,1.33375
0.2,0.4,0.2,2.15984,1.222,1.32103
0.2,0.4,0.2,2.35619,1.122,1.30821
0.2,0.4,0.2,2.55254,1.009,1.31187
0.2,0.4,0.2,2.74889,0.883,1.34114
0.2,0.4,0.2,2.94524,0.775,1.45887
0.2,0.4,0.2,3.14159,0.724,1.60291
0.2,0.4,0.4,0,0.743,1.59536
0.2,0.4,0.4,0.19635,0.794,1.44956
0.2,0.4,0.4,0.3927,0.903,1.33014
0.2,0.4,0.4,0.58905,1.03,1.29878
0.2,0.4,0.4,0.7854,1.144,1.29363
0.2,0.4,0.4,0.98175,1.243,1.3032
0.2,0.4,0.4,1.1781,1.319,1.31546
0.2,0.4,0.4,1.37445,1.366,1.32396
0.2,0.4,0.4,1.5708,1.381,1.3261
0.2,0.4,0.4,1.76715,1.366,1.32396
0.2,0.4,0.4,1.9635,1.319,1.31546
0.2,0.4,0.4,2.15984,1.243,1.3032
0.2,0.4,0.4,2.35619,1.144,1.29363
0.2,0.4,0.4,2.55254,1.03,1.29878
0.2,0.4,0.4,2.74889,0.903,1.33014
0.2,0.4,0.4,2.94524,0.794,1.44956
0.2,0.4,0.4,3.14159,0.743,1.59536
0.2,0.6,0.2,0,0.899,1.98039
0.2,0.6,0.2,0.19635,0.953,1.78497
0.2,0.6,0.2,0.3927,1.08,1.63214
0.2,0.6,0.2,0.58905,1.237,1.60026
0.2,0.6,0.2,0.7854,1.384,1.60561
0.2,0.6,0.2,0.98175,1.501,1.61451
0.2,0.6,0.2,1.1781,1.581,1.61766
0.2,0.6,0.2,1.37445,1.627,1.61784
0.2,0.6,0.2,1.5708,1.642,1.61763
0.2,0.6,0.2,1.76715,1.627,1.61784
0.2,0.6,0.2,1.9635,1.581,1.61766
0.2,0.6,0.2,2.15984,1.501,1.61451
0.2,0.6,0.2,2.35619,1.384,1.60561
0.2,0.6,0.2,2.55254,1.237,1.60026
0.2,0.6,0.2,2.74889,1.08,1.63214
0.2,0.6,0.2,2.94524,0.953,1.78497
0.2,0.6,0.2,3.14159,0.899,1.98039
0.2,0.6,0.4,0,0.941,1.97821
0.2,0.6,0.4,0.19635,0.993,1.77492
0.2,0.6,0.4,0.3927,1.12,1.61526
0.2,0.6,0.4,0.58905,1.278,1.57777
0.2,0.6,0.4,0.7854,1.425,1.57765
0.2,0.6,0.4,0.98175,1.54,1.58079
0.2,0.6,0.4,1.1781,1.619,1.58086
0.2,0.6,0.4,1.37445,1.664,1.57904
0.2,0.6,0.4,1.5708,1.679,1.57851
0.2,0.6,0.4,1.76715,1.664,1.57904
0.2,0.6,0.4,1.9635,1.619,1.58086
0.2,0.6,0.4,2.15984,1.54,1.58079
0.2,0.6,0.4,2.35619,1.425,1.57765
0.2,0.6,0.4,2.55254,1.278,1.57777
0.2,0.6,0.4,2.74889,1.12,1.61526
0.2,0.6,0.4,2.94524,0.993,1.77492
0.2,0.6,0.4,3.14159,0.941,1.97821
0.2,0.6,0.6,0,1.037,2.00164
0.2,0.6,0.6,0.19635,1.086,1.7823
0.2,0.6,0.6,0.3927,1.214,1.60756
0.2,0.6,0.6,0.58905,1.374,1.55748
0.2,0.6,0.6,0.7854,1.522,1.54716
0.2,0.6,0.6,0.98175,1.636,1.54191
0.2,0.6,0.6,1.1781,1.712,1.53488
0.2,0.6,0.6,1.37445,1.754,1.52824
0.2,0.6,0.6,1.5708,1.768,1.52617
0.2,0.6,0.6,1.76715,1.754,1.52824
0.2,0.6,0.6,1.9635,1.712,1.53488
0.2,0.6,0.6,2.15984,1.636,1.54191
0.2,0.6,0.6,2.35619,1.522,1.54716
0.2,0.6,0.6,2.55254,1.374,1.55748
0.2,0.6,0.6,2.74889,1.214,1.60756
0.2,0.6,0.6,2.94524,1.086,1.7823
0.2,0.6,0.6,3.14159,1.037,2.00164
0.2,0.8,0.2,0,1.19,2.60822
0.2,0.8,0.2,0.19635,1.217,2.26795
0.2,0.8,0.2,0.3927,1.345,2.02238
0.2,0.8,0.2,0.58905,1.504,1.93586
0.2,0.8,0.2,0.7854,1.657,1.91264
0.2,0.8,0.2,0.98175,1.759,1.88249
0.2,0.8,0.2,1.1781,1.824,1.85689
0.2,0.8,0.2,1.37445,1.846,1.82635
0.2,0.8,0.2,1.5708,1.851,1.81434
0.2,0.8,0.2,1.76715,1.846,1.82635
0.2,0.8,0.2,1.9635,1.824,1.85689
0.2,0.8,0.2,2.15984,1.759,1.88249
0.2,0.8,0.2,2.35619,1.657,1.91264
0.2,0.8,0.2,2.55254,1.504,1.93586
0.2,0.8,0.2,2.74889,1.345,2.02238
0.2,0.8,0.2,2.94524,1.217,2.26795
0.2,0.8,0.2,3.14159,1.19,2.60822
0.2,0.8,0.4,0,1.268,2.6082
0.2,0.8,0.4,0.19635,1.289,2.25434
0.2,0.8,0.4,0.3927,1.414,1.99532
0.2,0.8,0.4,0.58905,1.572,1.8989
0.2,0.8,0.4,0.7854,1.72,1.86322
0.2,0.8,0.4,0.98175,1.816,1.82393
0.2,0.8,0.4,1.1781,1.872,1.78851
0.2,0.8,0.4,1.37445,1.888,1.75299
0.2,0.8,0.4,1.5708,1.891,1.73951
0.2,0.8,0.4,1.76715,1.888,1.75299
0.2,0.8,0.4,1.9635,1.872,1.78851
0.2,0.8,0.4,2.15984,1.816,1.82393
0.2,0.8,0.4,2.35619,1.72,1.86322
0.2,0.8,0.4,2.55254,1.572,1.8989
0.2,0.8,0.4,2.74889,1.414,1.99532
0.2,0.8,0.4,2.94524,1.289,2.25434
0.2,0.8,0.4,3.14159,1.268,2.6082
0.2,0.8,0.6,0,1.465,2.67185
0.2,0.8,0.6,0.19635,1.474,2.2857
0.2,0.8,0.6,0.3927,1.595,1.99562
0.2,0.8,0.6,0.58905,1.752,1.87646
0.2,0.8,0.6,0.7854,1.893,1.81819
0.2,0.8,0.6,0.98175,1.976,1.75967
0.2,0.8,0.6,1.1781,2.016,1.70777
0.2,0.8,0.6,1.37445,2.017,1.66049
