,a/c,a/t,c/b,phi,F,Mg
171,0.4,0.2,0.2,0.19635,0.781,1.17406
39,0.2,0.4,0.4,0.98175,1.243,1.3032
387,1.0,0.6,0.4,2.55254,1.272,1.19587
138,0.2,0.8,0.6,0.3927,1.595,1.99562
87,0.2,0.6,0.6,0.3927,1.214,1.60756
250,0.6,0.2,0.2,2.35619,1.024,1.12208
289,0.6,0.8,0.2,0.0,1.353,1.71212
226,0.4,0.8,0.2,0.98175,1.408,1.48765
380,1.0,0.6,0.4,1.1781,1.165,1.09528
292,0.6,0.8,0.2,0.58905,1.24,1.40658
260,0.6,0.4,0.2,0.98175,1.093,1.1434
262,0.6,0.4,0.2,1.37445,1.139,1.13471
135,0.2,0.8,0.4,3.14159,1.268,2.6082
302,0.6,0.8,0.2,2.55254,1.24,1.40658
240,0.6,0.2,0.2,0.3927,0.942,1.1421
128,0.2,0.8,0.4,1.76715,1.888,1.75299
324,1.0,0.4,0.2,0.19635,1.206,1.19408
435,1.0,0.8,0.4,1.9635,1.158,1.06523
186,0.4,0.2,0.2,3.14159,0.767,1.20674
374,1.0,0.6,0.4,0.0,1.445,1.35852
212,0.4,0.6,0.2,1.5708,1.37,1.34967
268,0.6,0.4,0.2,2.55254,1.033,1.18363
459,1.0,0.8,0.8,0.0,2.552,1.67755
184,0.4,0.2,0.2,2.74889,0.842,1.14871
176,0.4,0.2,0.2,1.1781,1.103,1.13417
249,0.6,0.2,0.2,2.15984,1.059,1.11337
454,1.0,0.8,0.6,2.35619,1.36,1.10925
257,0.6,0.4,0.2,0.3927,1.009,1.21724
314,1.0,0.2,0.2,1.5708,1.049,1.04382
15,0.2,0.2,0.2,2.94524,0.65,1.22969
200,0.4,0.4,0.2,2.55254,1.01,1.24275
443,1.0,0.8,0.6,0.19635,1.752,1.42897
254,0.6,0.2,0.2,3.14159,0.916,1.17671
426,1.0,0.8,0.4,0.19635,1.512,1.39087
334,1.0,0.4,0.2,2.15984,1.088,1.07724
397,1.0,0.6,0.6,1.1781,1.252,1.08075
220,0.4,0.6,0.2,3.14159,1.08,1.68229
263,0.6,0.4,0.2,1.5708,1.145,1.13368
361,1.0,0.6,0.2,0.7854,1.181,1.16347
427,1.0,0.8,0.4,0.3927,1.395,1.28325
528,2.0,0.8,0.2,0.19635,0.839,0.82836
83,0.2,0.6,0.4,2.94524,0.993,1.77492
530,2.0,0.8,0.2,0.58905,0.717,0.75062
501,2.0,0.4,0.2,1.5708,0.501,0.70152
134,0.2,0.8,0.4,2.94524,1.289,2.25434
392,1.0,0.6,0.6,0.19635,1.595,1.37683
64,0.2,0.6,0.2,2.55254,1.237,1.60026
316,1.0,0.2,0.2,1.9635,1.053,1.0478
121,0.2,0.8,0.4,0.3927,1.414,1.99532
422,1.0,0.8,0.2,2.74889,1.314,1.28798
207,0.4,0.6,0.2,0.58905,1.179,1.44343
59,0.2,0.6,0.2,1.5708,1.642,1.61763
156,0.2,0.8,0.8,0.58905,2.092,1.80581
74,0.2,0.6,0.4,1.1781,1.619,1.58086
535,2.0,0.8,0.2,1.5708,0.496,0.68756
367,1.0,0.6,0.2,1.9635,1.129,1.11224
86,0.2,0.6,0.6,0.19635,1.086,1.7823
237,0.4,0.8,0.2,3.14159,1.318,2.04267
36,0.2,0.4,0.4,0.3927,0.903,1.33014
385,1.0,0.6,0.4,2.15984,1.195,1.12348
165,0.2,0.8,0.8,2.35619,2.216,1.71539
413,1.0,0.8,0.2,0.98175,1.15,1.12722
102,0.2,0.8,0.2,0.0,1.19,2.60822
236,0.4,0.8,0.2,2.94524,1.285,1.90286
54,0.2,0.6,0.2,0.58905,1.237,1.60026
174,0.4,0.2,0.2,0.7854,0.998,1.13795
319,1.0,0.2,0.2,2.55254,1.082,1.07666
517,2.0,0.6,0.2,1.37445,0.519,0.7038
144,0.2,0.8,0.6,1.5708,2.014,1.64267
98,0.2,0.6,0.6,2.55254,1.374,1.55748
542,2.0,0.8,0.2,2.94524,0.839,0.82836
