,a/c,a/t,c/b,phi,F,Mg
180,0.2,0.3,0.1,1.80193,1.23707,1.25084
12959,1.2,0.6,0.15,0.2956,1.08676,1.0848
5173,0.45,0.7,0.3,1.0516,1.3427,1.36263
17153,1.8,0.5,0.01,2.55494,0.74155,0.787
12613,1.2,0.3,0.01,1.96027,0.88207,0.9515
16070,1.6,0.8,0.1,0.74989,0.79404,0.85866
1138,0.25,0.4,0.1,0.5883,1.01751,1.31847
11941,1.1,0.3,0.15,1.95585,0.96626,1.00186
2452,0.3,0.7,0.15,2.40419,1.40756,1.65644
1895,0.3,0.3,0.05,0.76485,1.0223,1.19969
13099,1.2,0.7,0.2,2.40368,1.00727,1.02735
787,0.2,0.8,0.2,1.49721,1.88362,1.84872
2581,0.3,0.8,0.15,2.8368,1.28905,1.97952
7656,0.6,0.6,0.15,1.78897,1.20542,1.2045
13174,1.2,0.8,0.15,1.05167,0.95122,1.00427
2093,0.3,0.4,0.2,2.08878,1.20294,1.26863
10777,0.9,0.6,0.15,0.60423,1.14849,1.17881
14486,1.4,0.7,0.01,2.54804,0.90099,0.9392
5353,0.5,0.2,0.05,2.89435,0.88487,1.20038
17426,1.8,0.7,0.15,2.54791,0.76498,0.80514
6799,0.55,0.6,0.2,2.41531,1.16264,1.29598
17661,1.9,0.3,0.05,0.02205,0.81697,0.81666
10282,0.8,0.8,0.2,1.94989,1.17871,1.17006
11682,1.0,0.8,0.05,0.9005,1.15321,1.15179
678,0.2,0.7,0.2,0.90219,1.67695,1.84887
6704,0.55,0.6,0.01,0.76595,1.15189,1.28897
7573,0.6,0.5,0.3,1.96575,1.17739,1.17339
7945,0.6,0.8,0.3,1.05249,1.28955,1.28559
15277,1.5,0.7,0.15,1.50226,0.70288,0.85123
17929,1.9,0.5,0.15,2.39746,0.69017,0.75803
15083,1.5,0.5,0.2,0.74538,0.82015,0.87204
12727,1.2,0.4,0.05,0.14666,1.07143,1.07252
11078,1.0,0.2,0.1,1.65261,1.04301,1.04172
9879,0.8,0.5,0.01,1.34745,1.10236,1.10725
6101,0.5,0.8,0.05,1.64559,1.29693,1.29669
18853,2.0,0.8,0.05,2.4041,0.67534,0.74809
6757,0.55,0.6,0.1,2.41531,1.15301,1.29978
13761,1.3,0.7,0.05,0.90036,0.88007,0.94489
9949,0.8,0.5,0.15,2.39877,1.09556,1.14869
182,0.2,0.3,0.1,2.10858,1.16055,1.24557
4135,0.4,0.6,0.2,2.83423,1.07536,1.51853
1670,0.25,0.8,0.15,1.65179,1.69215,1.6759
11287,1.0,0.4,0.1,1.49363,1.06632,1.06369
10543,0.9,0.4,0.1,0.14692,1.15586,1.21385
13582,1.3,0.5,0.1,2.39362,0.90098,0.94646
15191,1.5,0.6,0.2,1.20722,0.73575,0.85575
12248,1.1,0.6,0.15,0.75549,1.04811,1.06172
3114,0.35,0.5,0.2,0.89291,1.21366,1.33247
6405,0.55,0.3,0.2,0.08457,0.97387,1.29813
7849,0.6,0.8,0.01,2.40037,1.22533,1.36367
4150,0.4,0.6,0.3,1.94975,1.34016,1.33542
3939,0.4,0.5,0.05,1.80796,1.26027,1.27433
10747,0.9,0.6,0.05,2.40521,1.12306,1.15335
9330,0.7,0.6,0.2,0.89823,1.1493,1.19643
6446,0.55,0.3,0.3,2.95844,0.95452,1.24247
13857,1.3,0.8,0.01,2.70209,1.01577,1.03541
1329,0.25,0.5,0.3,0.90704,1.30823,1.41955
10922,0.9,0.8,0.01,0.29948,1.28213,1.34461
7829,0.6,0.7,0.3,2.56565,1.21374,1.35436
2612,0.3,0.8,0.3,1.19872,1.61083,1.58882
6087,0.5,0.8,0.01,2.71605,1.2356,1.57593
10110,0.8,0.7,0.05,1.35236,1.13697,1.14059
5227,0.45,0.8,0.05,2.84051,1.24518,1.72108
9009,0.7,0.3,0.2,0.01109,1.05174,1.24771
2589,0.3,0.8,0.2,0.89342,1.55941,1.70725
1115,0.25,0.4,0.05,0.27972,0.84918,1.40278
2805,0.35,0.3,0.05,1.7915,1.15634,1.16829
13652,1.3,0.6,0.05,0.30454,1.01614,1.02474
17290,1.8,0.6,0.1,1.04562,0.64516,0.77126
12421,1.1,0.8,0.05,1.49922,0.98244,1.02884
16449,1.7,0.5,0.05,0.8927,0.7033,0.79737
14521,1.4,0.7,0.1,1.49433,0.75003,0.88238
14503,1.4,0.7,0.05,1.95203,0.78024,0.89387
13611,1.3,0.5,0.2,0.44378,0.97406,0.98102
8996,0.7,0.3,0.15,1.20017,1.07116,1.08532
14309,1.4,0.5,0.1,1.20185,0.77204,0.88428
10568,0.9,0.4,0.15,0.74554,1.07894,1.10237
14920,1.5,0.4,0.05,1.50583,0.68587,0.8384
13017,1.2,0.7,0.01,2.70142,1.05832,1.07348
7498,0.6,0.5,0.1,0.16311,1.07616,1.36926
9370,0.7,0.7,0.05,0.60254,1.16162,1.29042
11126,1.0,0.2,0.2,2.53601,1.08411,1.07876
16562,1.7,0.6,0.05,2.10717,0.67535,0.79578
13434,1.3,0.4,0.01,2.25136,0.85777,0.92068
5251,0.45,0.8,0.15,0.15651,1.2915,1.86084
6269,0.55,0.2,0.15,1.61648,1.0896,1.08697
6572,0.55,0.4,0.3,3.01611,1.01296,1.32364
16469,1.7,0.5,0.1,0.7447,0.73835,0.80484
981,0.25,0.3,0.01,2.2654,1.07691,1.21561
2410,0.3,0.7,0.05,2.40419,1.40036,1.66236
14643,1.4,0.8,0.15,0.90122,0.84976,0.91905
9094,0.7,0.4,0.15,0.14295,1.06039,1.2538
1604,0.25,0.8,0.01,1.20062,1.67224,1.72779
5054,0.45,0.6,0.3,2.09347,1.28016,1.30774
9835,0.8,0.4,0.15,1.05401,1.0808,1.0998
4717,0.45,0.4,0.05,1.95829,1.15331,1.18797
5188,0.45,0.8,0.01,0.15651,1.27601,1.85911
8032,0.65,0.2,0.15,1.52453,1.08048,1.07781
17823,1.9,0.4,0.15,2.26095,0.65495,0.74956
17087,1.8,0.4,0.1,2.09293,0.6384,0.76484
9365,0.7,0.7,0.01,2.99946,1.2338,1.46701
2751,0.35,0.2,0.5,0.11453,0.79936,1.28032
3818,0.4,0.4,0.05,2.55128,1.00766,1.25074
13314,1.3,0.3,0.01,0.01573,1.01414,1.01415
8747,0.65,0.8,0.05,1.66303,1.2038,1.20379
3341,0.35,0.7,0.15,0.29083,1.16069,1.73043
11245,1.0,0.4,0.01,1.49363,1.0566,1.05657
2204,0.3,0.5,0.15,3.00234,0.93136,1.61512
18728,2.0,0.6,0.2,2.55283,0.71409,0.75131
3049,0.35,0.5,0.05,0.60753,1.09377,1.36713
3530,0.4,0.2,0.01,0.26696,0.82542,1.20734
18848,2.0,0.8,0.05,1.65046,0.51569,0.72498
10893,0.9,0.7,0.15,2.25047,1.14739,1.15861
14917,1.5,0.4,0.05,1.04871,0.73894,0.84527
16451,1.7,0.5,0.05,1.19399,0.63999,0.78764
3454,0.35,0.8,0.1,1.50325,1.46747,1.46169
15401,1.5,0.8,0.2,1.20575,0.74711,0.86436
3319,0.35,0.7,0.1,0.14355,1.16802,1.89969
11329,1.0,0.4,0.2,1.49363,1.0745,1.06388
11195,1.0,0.3,0.15,0.28877,1.13773,1.13299
3791,0.4,0.4,0.01,1.65249,1.20855,1.21022
7104,0.6,0.2,0.05,0.94758,1.02886,1.09376
4912,0.45,0.5,0.2,2.86618,1.00576,1.3891
16256,1.7,0.3,0.1,0.28974,0.82557,0.83542
14042,1.4,0.2,0.2,2.09204,0.78944,0.88115
16986,1.8,0.3,0.1,2.70836,0.76642,0.79026
5245,0.45,0.8,0.1,2.39198,1.31827,1.50788
5754,0.5,0.5,0.15,0.05508,1.06723,1.49542
8180,0.65,0.3,0.2,1.68158,1.10339,1.09715
641,0.2,0.7,0.1,1.65269,1.80742,1.80251
13243,1.3,0.2,0.05,1.95885,0.81197,0.90396
8150,0.65,0.3,0.15,0.27301,0.99209,1.19673
18856,2.0,0.8,0.05,2.8464,0.7831,0.79506
14562,1.4,0.7,0.2,1.3455,0.77511,0.89075
4796,0.45,0.4,0.3,1.18243,1.17198,1.18118
1277,0.25,0.5,0.1,2.5399,1.12575,1.44597
938,0.25,0.2,0.3,2.08643,1.07877,1.13804
14229,1.4,0.4,0.15,1.79353,0.75492,0.87816
