a/c,a/t,c/b,phi,F,Mg
0.2,0.1,0.2,0,0.55844,1.24562
0.2,0.1,0.2,0.06981,0.56682,1.22989
0.2,0.1,0.2,0.13963,0.59944,1.21536
0.2,0.1,0.2,0.20944,0.64387,1.20209
0.2,0.1,0.2,0.27925,0.69161,1.19009
0.2,0.1,0.2,0.34907,0.73858,1.17937
0.2,0.1,0.2,0.41888,0.78314,1.16991
0.2,0.1,0.2,0.48869,0.82476,1.16167
0.2,0.1,0.2,0.55851,0.86338,1.15461
0.2,0.1,0.2,0.62832,0.89908,1.14864
0.2,0.1,0.2,0.69813,0.932,1.1437
0.2,0.1,0.2,0.76794,0.96228,1.13968
0.2,0.1,0.2,0.83776,0.99002,1.1365
0.2,0.1,0.2,0.90757,1.01528,1.13404
0.2,0.1,0.2,0.97738,1.03811,1.1322
0.2,0.1,0.2,1.0472,1.05851,1.13089
0.2,0.1,0.2,1.11701,1.07648,1.12999
0.2,0.1,0.2,1.18682,1.09198,1.12941
0.2,0.1,0.2,1.25664,1.10498,1.12907
0.2,0.1,0.2,1.32645,1.11544,1.12889
0.2,0.1,0.2,1.39626,1.12333,1.12882
0.2,0.1,0.2,1.46608,1.12861,1.12879
0.2,0.1,0.2,1.53589,1.13125,1.12879
0.2,0.1,0.2,1.6057,1.13125,1.12879
0.2,0.1,0.2,1.67552,1.12861,1.12879
0.2,0.1,0.2,1.74533,1.12333,1.12882
0.2,0.1,0.2,1.81514,1.11544,1.12889
0.2,0.1,0.2,1.88496,1.10498,1.12907
0.2,0.1,0.2,1.95477,1.09198,1.12941
0.2,0.1,0.2,2.02458,1.07648,1.12999
0.2,0.1,0.2,2.0944,1.05851,1.13089
0.2,0.1,0.2,2.16421,1.03811,1.1322
0.2,0.1,0.2,2.23402,1.01528,1.13404
0.2,0.1,0.2,2.30383,0.99002,1.1365
0.2,0.1,0.2,2.37365,0.96228,1.13968
0.2,0.1,0.2,2.44346,0.932,1.1437
0.2,0.1,0.2,2.51327,0.89908,1.14864
0.2,0.1,0.2,2.58309,0.86338,1.15461
0.2,0.1,0.2,2.6529,0.82476,1.16167
0.2,0.1,0.2,2.72271,0.78314,1.16991
0.2,0.1,0.2,2.79253,0.73858,1.17937
0.2,0.1,0.2,2.86234,0.69161,1.19009
0.2,0.1,0.2,2.93215,0.64387,1.20209
0.2,0.1,0.2,3.00197,0.59944,1.21536
0.2,0.1,0.2,3.07178,0.56682,1.22989
0.2,0.1,0.2,3.14159,0.55844,1.24562
0.2,0.12,0.2,0,0.56313,1.25548
0.2,0.12,0.2,0.06981,0.57149,1.23941
0.2,0.12,0.2,0.13963,0.60428,1.22457
0.2,0.12,0.2,0.20944,0.64897,1.21101
0.2,0.12,0.2,0.27925,0.69699,1.19876
0.2,0.12,0.2,0.34907,0.74423,1.1878
0.2,0.12,0.2,0.41888,0.78904,1.17814
0.2,0.12,0.2,0.48869,0.83089,1.16973
0.2,0.12,0.2,0.55851,0.86972,1.16251
0.2,0.12,0.2,0.62832,0.90561,1.15642
0.2,0.12,0.2,0.69813,0.93872,1.15137
0.2,0.12,0.2,0.76794,0.96916,1.14726
0.2,0.12,0.2,0.83776,0.99706,1.14401
0.2,0.12,0.2,0.90757,1.02247,1.1415
0.2,0.12,0.2,0.97738,1.04543,1.13963
0.2,0.12,0.2,1.0472,1.06596,1.13828
0.2,0.12,0.2,1.11701,1.08404,1.13736
0.2,0.12,0.2,1.18682,1.09964,1.13677
0.2,0.12,0.2,1.25664,1.11273,1.13642
0.2,0.12,0.2,1.32645,1.12326,1.13624
0.2,0.12,0.2,1.39626,1.1312,1.13616
0.2,0.12,0.2,1.46608,1.13652,1.13614
0.2,0.12,0.2,1.53589,1.13918,1.13614
0.2,0.12,0.2,1.6057,1.13918,1.13614
0.2,0.12,0.2,1.67552,1.13652,1.13614
0.2,0.12,0.2,1.74533,1.1312,1.13616
0.2,0.12,0.2,1.81514,1.12326,1.13624
0.2,0.12,0.2,1.88496,1.11273,1.13642
0.2,0.12,0.2,1.95477,1.09964,1.13677
0.2,0.12,0.2,2.02458,1.08404,1.13736
0.2,0.12,0.2,2.0944,1.06596,1.13828
0.2,0.12,0.2,2.16421,1.04543,1.13963
0.2,0.12,0.2,2.23402,1.02247,1.1415
0.2,0.12,0.2,2.30383,0.99706,1.14401
0.2,0.12,0.2,2.37365,0.96916,1.14726
0.2,0.12,0.2,2.44346,0.93872,1.15137
0.2,0.12,0.2,2.51327,0.90561,1.15642
0.2,0.12,0.2,2.58309,0.86972,1.16251
0.2,0.12,0.2,2.6529,0.83089,1.16973
0.2,0.12,0.2,2.72271,0.78904,1.17814
0.2,0.12,0.2,2.79253,0.74423,1.1878
0.2,0.12,0.2,2.86234,0.69699,1.19876
0.2,0.12,0.2,2.93215,0.64897,1.21101
0.2,0.12,0.2,3.00197,0.60428,1.22457
0.2,0.12,0.2,3.07178,0.57149,1.23941
0.2,0.12,0.2,3.14159,0.56313,1.25548
0.2,0.14,0.2,0,0.56864,1.26712
0.2,0.14,0.2,0.06981,0.57696,1.25065
0.2,0.14,0.2,0.13963,0.60994,1.23544
0.2,0.14,0.2,0.20944,0.65494,1.22154
0.2,0.14,0.2,0.27925,0.70329,1.20898
0.2,0.14,0.2,0.34907,0.75084,1.19775
0.2,0.14,0.2,0.41888,0.79594,1.18785
0.2,0.14,0.2,0.48869,0.83805,1.17922
0.2,0.14,0.2,0.55851,0.87712,1.17182
0.2,0.14,0.2,0.62832,0.91324,1.16558
0.2,0.14,0.2,0.69813,0.94655,1.1604
0.2,0.14,0.2,0.76794,0.97719,1.1562
0.2,0.14,0.2,0.83776,1.00527,1.15286
0.2,0.14,0.2,0.90757,1.03085,1.15029
0.2,0.14,0.2,0.97738,1.05397,1.14837
0.2,0.14,0.2,1.0472,1.07465,1.14699
0.2,0.14,0.2,1.11701,1.09286,1.14604
0.2,0.14,0.2,1.18682,1.10858,1.14544
0.2,0.14,0.2,1.25664,1.12177,1.14508
0.2,0.14,0.2,1.32645,1.13238,1.1449
0.2,0.14,0.2,1.39626,1.14038,1.14482
0.2,0.14,0.2,1.46608,1.14574,1.1448
0.2,0.14,0.2,1.53589,1.14843,1.14479
0.2,0.14,0.2,1.6057,1.14843,1.14479
0.2,0.14,0.2,1.67552,1.14574,1.1448
0.2,0.14,0.2,1.74533,1.14038,1.14482
0.2,0.14,0.2,1.81514,1.13238,1.1449
0.2,0.14,0.2,1.88496,1.12177,1.14508
0.2,0.14,0.2,1.95477,1.10858,1.14544
0.2,0.14,0.2,2.02458,1.09286,1.14604
0.2,0.14,0.2,2.0944,1.07465,1.14699
0.2,0.14,0.2,2.16421,1.05397,1.14837
0.2,0.14,0.2,2.23402,1.03085,1.15029
0.2,0.14,0.2,2.30383,1.00527,1.15286
0.2,0.14,0.2,2.37365,0.97719,1.1562
0.2,0.14,0.2,2.44346,0.94655,1.1604
0.2,0.14,0.2,2.51327,0.91324,1.16558
0.2,0.14,0.2,2.58309,0.87712,1.17182
0.2,0.14,0.2,2.6529,0.83805,1.17922
0.2,0.14,0.2,2.72271,0.79594,1.18785
0.2,0.14,0.2,2.79253,0.75084,1.19775
0.2,0.14,0.2,2.86234,0.70329,1.20898
0.2,0.14,0.2,2.93215,0.65494,1.22154
0.2,0.14,0.2,3.00197,0.60994,1.23544
0.2,0.14,0.2,3.07178,0.57696,1.25065
0.2,0.14,0.2,3.14159,0.56864,1.26712
0.2,0.16,0.2,0,0.57495,1.28056
0.2,0.16,0.2,0.06981,0.58323,1.26361
0.2,0.16,0.2,0.13963,0.61644,1.24797
