a/c,a/t,c/b,phi,F,Mg
0.2,0.1,0.2,0,0.55844,1.24562
0.2,0.1,0.2,0.08976,0.57423,1.22561
0.2,0.1,0.2,0.17952,0.62405,1.20762
0.2,0.1,0.2,0.26928,0.68478,1.19173
0.2,0.1,0.2,0.35904,0.74511,1.17794
0.2,0.1,0.2,0.4488,0.80135,1.16623
0.2,0.1,0.2,0.53856,0.85265,1.15651
0.2,0.1,0.2,0.62832,0.89908,1.14864
0.2,0.1,0.2,0.71808,0.94092,1.14246
0.2,0.1,0.2,0.80784,0.97844,1.13777
0.2,0.1,0.2,0.8976,1.01182,1.13435
0.2,0.1,0.2,0.98736,1.04117,1.13199
0.2,0.1,0.2,1.07712,1.06651,1.13045
0.2,0.1,0.2,1.16688,1.0878,1.12955
0.2,0.1,0.2,1.25664,1.10498,1.12907
0.2,0.1,0.2,1.3464,1.11796,1.12886
0.2,0.1,0.2,1.43616,1.12667,1.1288
0.2,0.1,0.2,1.52592,1.13104,1.12879
0.2,0.1,0.2,1.61568,1.13104,1.12879
0.2,0.1,0.2,1.70544,1.12667,1.1288
0.2,0.1,0.2,1.7952,1.11796,1.12886
0.2,0.1,0.2,1.88496,1.10498,1.12907
0.2,0.1,0.2,1.97472,1.0878,1.12955
0.2,0.1,0.2,2.06448,1.06651,1.13045
0.2,0.1,0.2,2.15423,1.04117,1.13199
0.2,0.1,0.2,2.24399,1.01182,1.13435
0.2,0.1,0.2,2.33375,0.97844,1.13777
0.2,0.1,0.2,2.42351,0.94092,1.14246
0.2,0.1,0.2,2.51327,0.89908,1.14864
0.2,0.1,0.2,2.60303,0.85265,1.15651
0.2,0.1,0.2,2.69279,0.80135,1.16623
0.2,0.1,0.2,2.78255,0.74511,1.17794
0.2,0.1,0.2,2.87231,0.68478,1.19173
0.2,0.1,0.2,2.96207,0.62405,1.20762
0.2,0.1,0.2,3.05183,0.57423,1.22561
0.2,0.1,0.2,3.14159,0.55844,1.24562
0.2,0.12571,0.2,0,0.56463,1.25862
0.2,0.12571,0.2,0.08976,0.58043,1.23805
0.2,0.12571,0.2,0.17952,0.63061,1.21955
0.2,0.12571,0.2,0.26928,0.69181,1.2032
0.2,0.12571,0.2,0.35904,0.7526,1.18902
0.2,0.12571,0.2,0.4488,0.80925,1.17698
0.2,0.12571,0.2,0.53856,0.86092,1.16698
0.2,0.12571,0.2,0.62832,0.90768,1.15889
0.2,0.12571,0.2,0.71808,0.94982,1.15254
0.2,0.12571,0.2,0.80784,0.98762,1.14771
0.2,0.12571,0.2,0.8976,1.02126,1.1442
0.2,0.12571,0.2,0.98736,1.05084,1.14177
0.2,0.12571,0.2,1.07712,1.07638,1.14019
0.2,0.12571,0.2,1.16688,1.09785,1.13926
0.2,0.12571,0.2,1.25664,1.11518,1.13877
0.2,0.12571,0.2,1.3464,1.12828,1.13855
0.2,0.12571,0.2,1.43616,1.13706,1.13849
0.2,0.12571,0.2,1.52592,1.14147,1.13848
0.2,0.12571,0.2,1.61568,1.14147,1.13848
0.2,0.12571,0.2,1.70544,1.13706,1.13849
0.2,0.12571,0.2,1.7952,1.12828,1.13855
0.2,0.12571,0.2,1.88496,1.11518,1.13877
0.2,0.12571,0.2,1.97472,1.09785,1.13926
0.2,0.12571,0.2,2.06448,1.07638,1.14019
0.2,0.12571,0.2,2.15423,1.05084,1.14177
0.2,0.12571,0.2,2.24399,1.02126,1.1442
0.2,0.12571,0.2,2.33375,0.98762,1.14771
0.2,0.12571,0.2,2.42351,0.94982,1.15254
0.2,0.12571,0.2,2.51327,0.90768,1.15889
0.2,0.12571,0.2,2.60303,0.86092,1.16698
