a/c,a/t,c/b,phi,F,Mg
   1.70000,   0.60000,   0.20000,   0.23702,   0.88577,   0.88067
   0.90000,   0.50000,   0.20000,   0.76562,   1.11426,   1.12947
   0.60000,   0.30000,   0.20000,   1.16425,   1.08723,   1.10800
   1.30000,   0.30000,   0.20000,   1.70484,   0.80845,   0.91215
   0.45000,   0.20000,   0.20000,   1.97755,   1.07145,   1.10230
   1.10000,   0.50000,   0.20000,   2.16444,   1.01182,   1.03154
   1.90000,   0.40000,   0.20000,   2.47126,   0.70938,   0.76223
   0.60000,   0.70000,   0.20000,   0.22310,   1.21584,   1.51061
   0.65000,   0.30000,   0.20000,   1.53380,   1.10439,   1.09642
   0.80000,   0.50000,   0.20000,   0.19768,   1.15092,   1.26406
   1.40000,   0.30000,   0.20000,   2.08146,   0.79093,   0.88217
   0.80000,   0.40000,   0.20000,   3.03169,   1.12694,   1.24540
   0.35000,   0.70000,   0.20000,   2.38852,   1.35697,   1.56070
   0.80000,   0.30000,   0.20000,   2.44792,   1.04002,   1.09596
   0.20000,   0.60000,   0.20000,   2.10945,   1.57447,   1.66823
   0.25000,   0.80000,   0.20000,   1.42406,   1.70471,   1.67943
   1.20000,   0.60000,   0.20000,   0.69189,   0.99749,   1.01586
   1.00000,   0.30000,   0.20000,   1.88227,   1.06495,   1.05706
   0.55000,   0.20000,   0.20000,   1.05098,   1.04945,   1.09475
   1.60000,   0.80000,   0.20000,   2.82444,   0.92896,   0.92458
   0.70000,   0.80000,   0.20000,   0.97784,   1.21847,   1.24727
   1.80000,   0.40000,   0.20000,   2.98037,   0.85417,   0.84953
   1.20000,   0.50000,   0.20000,   1.36686,   0.89584,   0.96489
   0.25000,   0.80000,   0.20000,   2.19620,   1.68590,   1.82064
   0.25000,   0.80000,   0.20000,   0.43983,   1.38938,   1.96130
   1.70000,   0.20000,   0.20000,   2.45451,   0.75133,   0.80692
   0.45000,   0.80000,   0.20000,   0.30032,   1.26498,   1.71647
   1.00000,   0.50000,   0.20000,   0.38578,   1.18273,   1.16811
   1.10000,   0.80000,   0.20000,   0.40057,   1.19745,   1.18161
   1.10000,   0.50000,   0.20000,   1.15058,   0.99831,   1.02525
   0.25000,   0.70000,   0.20000,   1.72485,   1.65479,   1.63522
   2.00000,   0.20000,   0.20000,   0.31776,   0.75773,   0.76846
   1.70000,   0.80000,   0.20000,   1.34650,   0.63834,   0.79778
   1.00000,   0.70000,   0.20000,   2.77272,   1.26448,   1.24258
   1.50000,   0.80000,   0.20000,   0.05077,   1.08005,   1.05904
   1.00000,   0.30000,   0.20000,   2.96809,   1.17330,   1.16460
   1.30000,   0.40000,   0.20000,   2.23181,   0.87019,   0.92720
   1.80000,   0.80000,   0.20000,   0.34028,   0.85023,   0.85026
   0.25000,   0.80000,   0.20000,   2.15738,   1.69133,   1.80428
   0.25000,   0.60000,   0.20000,   1.86684,   1.53739,   1.54639
   1.80000,   0.40000,   0.20000,   2.28125,   0.68969,   0.77502
   1.70000,   0.70000,   0.20000,   1.04929,   0.68880,   0.80162
   0.80000,   0.70000,   0.20000,   3.00069,   1.29572,   1.41964
   0.80000,   0.70000,   0.20000,   1.18323,   1.16046,   1.15551
   0.90000,   0.80000,   0.20000,   0.72426,   1.20415,   1.21403
   0.25000,   0.70000,   0.20000,   1.47819,   1.66488,   1.63934
   1.10000,   0.80000,   0.20000,   3.05190,   1.34400,   1.31784
   0.70000,   0.50000,   0.20000,   2.58230,   1.08521,   1.20133
   0.45000,   0.50000,   0.20000,   1.89152,   1.23148,   1.24163
   0.70000,   0.60000,   0.20000,   1.43167,   1.17261,   1.15806
   1.30000,   0.20000,   0.20000,   1.79837,   0.81010,   0.91120
   1.40000,   0.30000,   0.20000,   2.93080,   0.95801,   0.95608
   0.25000,   0.30000,   0.20000,   2.23088,   1.09755,   1.21446
   0.55000,   0.80000,   0.20000,   0.61996,   1.26503,   1.44786
   1.20000,   0.60000,   0.20000,   2.20039,   0.95237,   0.99194
   1.50000,   0.30000,   0.20000,   2.23644,   0.77228,   0.85166
   1.50000,   0.30000,   0.20000,   2.12296,   0.75277,   0.84993
   1.40000,   0.80000,   0.20000,   2.76665,   1.00359,   1.00057
   0.65000,   0.20000,   0.20000,   1.89814,   1.06956,   1.08078
   1.00000,   0.50000,   0.20000,   1.92920,   1.09751,   1.08394
   0.25000,   0.40000,   0.20000,   0.27972,   0.85328,   1.39647
   0.40000,   0.60000,   0.20000,   1.21483,   1.32573,   1.34167
   1.80000,   0.20000,   0.20000,   1.54098,   0.57826,   0.77160
   2.00000,   0.80000,   0.20000,   0.33804,   0.79213,   0.79333
   0.90000,   0.50000,   0.20000,   1.04954,   1.10721,   1.10680
   1.60000,   0.70000,   0.20000,   1.51403,   0.66155,   0.82128
   0.50000,   0.80000,   0.20000,   0.61139,   1.28456,   1.49952
   1.70000,   0.50000,   0.20000,   0.66496,   0.76825,   0.81506
   1.50000,   0.40000,   0.20000,   2.79082,   0.89611,   0.90243
   1.70000,   0.50000,   0.20000,   2.33213,   0.73392,   0.80502
   0.55000,   0.70000,   0.20000,   0.70543,   1.21675,   1.36099
   0.70000,   0.60000,   0.20000,   1.39156,   1.17125,   1.15859
   1.60000,   0.50000,   0.20000,   0.17192,   0.92441,   0.91710
   0.25000,   0.60000,   0.20000,   1.21395,   1.52583,   1.54954
   1.50000,   0.70000,   0.20000,   2.40712,   0.84207,   0.88905
   1.30000,   0.70000,   0.20000,   1.41256,   0.83014,   0.92617
   0.90000,   0.70000,   0.20000,   0.50804,   1.20967,   1.23621
   1.80000,   0.30000,   0.20000,   2.31657,   0.69476,   0.77499
   0.25000,   0.80000,   0.20000,   2.08235,   1.70148,   1.77732
   0.70000,   0.70000,   0.20000,   1.71212,   1.19102,   1.17337
   0.70000,   0.30000,   0.20000,   2.22357,   1.04951,   1.09746
   0.45000,   0.70000,   0.20000,   1.41056,   1.34443,   1.32793
   1.70000,   0.80000,   0.20000,   2.48171,   0.79661,   0.83788
   0.35000,   0.60000,   0.20000,   0.61411,   1.20021,   1.47417
   1.30000,   0.50000,   0.20000,   2.98616,   1.05713,   1.04663
   0.50000,   0.40000,   0.20000,   1.38763,   1.16890,   1.16466
   0.20000,   0.60000,   0.20000,   0.50905,   1.22067,   1.67135
   0.35000,   0.40000,   0.20000,   2.49766,   1.04280,   1.26861
   0.60000,   0.70000,   0.20000,   2.04949,   1.23045,   1.25406
   1.30000,   0.70000,   0.20000,   2.71359,   1.02065,   1.02142
   0.50000,   0.70000,   0.20000,   1.05639,   1.28618,   1.32882
   1.80000,   0.80000,   0.20000,   1.53083,   0.58675,   0.77093
   0.20000,   0.80000,   0.20000,   1.66134,   1.88252,   1.84887
   1.70000,   0.60000,   0.20000,   2.53661,   0.79047,   0.82641
   0.60000,   0.50000,   0.20000,   1.92289,   1.16679,   1.17540
   1.00000,   0.80000,   0.20000,   2.02699,   1.15118,   1.12838
   0.20000,   0.80000,   0.20000,   1.67865,   1.88337,   1.85124
   2.00000,   0.40000,   0.20000,   2.63078,   0.72030,   0.74928
   0.70000,   0.80000,   0.20000,   1.21396,   1.21002,   1.20526
   2.00000,   0.40000,   0.20000,   2.36684,   0.66056,   0.73325
   0.80000,   0.50000,   0.20000,   2.66305,   1.10719,   1.18861
   0.80000,   0.60000,   0.20000,   2.63187,   1.15075,   1.22828
   1.70000,   0.50000,   0.20000,   0.48201,   0.80734,   0.82813
   1.90000,   0.20000,   0.20000,   0.12151,   0.83291,   0.83101
   0.25000,   0.80000,   0.20000,   1.17749,   1.70129,   1.73052
   0.80000,   0.70000,   0.20000,   0.89312,   1.16887,   1.19329
   1.50000,   0.70000,   0.20000,   0.46372,   0.91046,   0.92143
   0.90000,   0.50000,   0.20000,   1.08765,   1.10566,   1.10348
   1.10000,   0.80000,   0.20000,   0.88914,   1.07153,   1.07974
   0.35000,   0.50000,   0.20000,   1.82420,   1.30994,   1.31222
   1.50000,   0.70000,   0.20000,   2.68743,   0.91319,   0.92310
   0.40000,   0.40000,   0.20000,   2.77679,   0.93287,   1.28503
   1.20000,   0.70000,   0.20000,   1.34382,   0.90914,   0.97328
   2.00000,   0.20000,   0.20000,   2.71838,   0.73517,   0.75670
   0.45000,   0.70000,   0.20000,   0.66099,   1.25095,   1.45964
   1.60000,   0.40000,   0.20000,   1.90664,   0.68045,   0.81950
   1.50000,   0.40000,   0.20000,   0.81484,   0.79480,   0.85854
   1.30000,   0.60000,   0.20000,   2.19274,   0.88416,   0.94224
   0.25000,   0.60000,   0.20000,   1.07408,   1.48765,   1.55596
   1.70000,   0.30000,   0.20000,   3.03442,   0.88996,   0.88502
   1.80000,   0.30000,   0.20000,   0.15168,   0.84958,   0.84664
   1.00000,   0.80000,   0.20000,   0.66955,   1.22187,   1.19767
   0.70000,   0.70000,   0.20000,   1.85942,   1.19117,   1.18295
   0.30000,   0.70000,   0.20000,   1.67826,   1.54461,   1.52185
   1.00000,   0.50000,   0.20000,   3.12304,   1.29661,   1.28058
   0.60000,   0.80000,   0.20000,   0.54903,   1.24850,   1.43138
   0.90000,   0.60000,   0.20000,   0.52675,   1.16707,   1.19462
   0.55000,   0.30000,   0.20000,   1.78546,   1.11252,   1.11319
   0.80000,   0.40000,   0.20000,   0.49550,   1.07050,   1.15008
   1.50000,   0.80000,   0.20000,   0.23012,   1.00397,   0.99133
