a/c,a/t,c/b,phi,F,Mg
   0.20000,   0.20000,   0.20000,   0.00000,   0.61700,   1.37284
   0.20000,   0.20000,   0.20000,   0.19635,   0.65000,   1.22969
   0.20000,   0.20000,   0.20000,   0.39270,   0.75400,   1.15093
   0.20000,   0.20000,   0.20000,   0.58905,   0.88200,   1.15248
   0.20000,   0.20000,   0.20000,   0.78540,   0.99000,   1.16007
   0.20000,   0.20000,   0.20000,   0.98175,   1.07200,   1.16466
   0.20000,   0.20000,   0.20000,   1.17810,   1.12800,   1.16576
   0.20000,   0.20000,   0.20000,   1.37445,   1.16100,   1.16607
   0.20000,   0.20000,   0.20000,   1.57080,   1.17300,   1.16721
   0.20000,   0.20000,   0.20000,   1.76715,   1.16100,   1.16607
   0.20000,   0.20000,   0.20000,   1.96350,   1.12800,   1.16576
   0.20000,   0.20000,   0.20000,   2.15984,   1.07200,   1.16466
   0.20000,   0.20000,   0.20000,   2.35619,   0.99000,   1.16007
   0.20000,   0.20000,   0.20000,   2.55254,   0.88200,   1.15248
   0.20000,   0.20000,   0.20000,   2.74889,   0.75400,   1.15093
   0.20000,   0.20000,   0.20000,   2.94524,   0.65000,   1.22969
   0.20000,   0.20000,   0.20000,   3.14159,   0.61700,   1.37284
   0.20000,   0.40000,   0.20000,   0.00000,   0.72400,   1.60291
   0.20000,   0.40000,   0.20000,   0.19635,   0.77500,   1.45887
   0.20000,   0.40000,   0.20000,   0.39270,   0.88300,   1.34114
   0.20000,   0.40000,   0.20000,   0.58905,   1.00900,   1.31187
   0.20000,   0.40000,   0.20000,   0.78540,   1.12200,   1.30821
   0.20000,   0.40000,   0.20000,   0.98175,   1.22200,   1.32103
   0.20000,   0.40000,   0.20000,   1.17810,   1.29700,   1.33375
   0.20000,   0.40000,   0.20000,   1.37445,   1.34400,   1.34315
   0.20000,   0.40000,   0.20000,   1.57080,   1.35900,   1.34556
   0.20000,   0.40000,   0.20000,   1.76715,   1.34400,   1.34315
   0.20000,   0.40000,   0.20000,   1.96350,   1.29700,   1.33375
