a/c,a/t,c/b,phi,F,Mg
   0.20000,   0.20000,   0.20000,   1.57080,   1.17300,   1.16721
   0.20000,   0.40000,   0.20000,   1.57080,   1.35900,   1.34556
   0.20000,   0.40000,   0.40000,   1.57080,   1.38100,   1.32610
   0.20000,   0.60000,   0.20000,   1.57080,   1.64200,   1.61763
   0.20000,   0.60000,   0.40000,   1.57080,   1.67900,   1.57851
   0.20000,   0.60000,   0.60000,   1.57080,   1.76800,   1.52617
   0.20000,   0.80000,   0.20000,   1.57080,   1.85100,   1.81434
   0.20000,   0.80000,   0.40000,   1.57080,   1.89100,   1.73951
   0.20000,   0.80000,   0.60000,   1.57080,   2.01400,   1.64267
   0.20000,   0.80000,   0.80000,   1.57080,   2.24000,   1.47246
   0.40000,   0.20000,   0.20000,   1.57080,   1.13800,   1.13238
   0.40000,   0.40000,   0.20000,   1.57080,   1.22500,   1.21289
   0.40000,   0.60000,   0.20000,   1.57080,   1.37000,   1.34967
   0.40000,   0.80000,   0.20000,   1.57080,   1.44700,   1.41834
   0.60000,   0.20000,   0.20000,   1.57080,   1.11000,   1.10452
   0.60000,   0.40000,   0.20000,   1.57080,   1.14500,   1.13368
   0.60000,   0.60000,   0.20000,   1.57080,   1.23000,   1.21174
   0.60000,   0.80000,   0.20000,   1.57080,   1.26400,   1.23897
   1.00000,   0.20000,   0.20000,   1.57080,   1.04900,   1.04382
   1.00000,   0.40000,   0.20000,   1.57080,   1.06200,   1.05150
   1.00000,   0.40000,   0.40000,   1.57080,   1.09500,   1.05147
   1.00000,   0.60000,   0.20000,   1.57080,   1.10700,   1.09057
   1.00000,   0.60000,   0.40000,   1.57080,   1.13800,   1.06989
   1.00000,   0.60000,   0.60000,   1.57080,   1.21500,   1.04881
   1.00000,   0.80000,   0.20000,   1.57080,   1.11200,   1.08998
   1.00000,   0.80000,   0.40000,   1.57080,   1.12800,   1.03764
   1.00000,   0.80000,   0.60000,   1.57080,   1.18500,   0.96651
   1.00000,   0.80000,   0.80000,   1.57080,   1.30800,   0.85981
