a/c,a/t,c/b,phi,F,Mg
   0.90909,   0.20000,   0.20000,   1.55257,   0.95196,   0.99348
   0.90909,   0.30000,   0.20000,   1.58328,   0.96042,   0.99982
   0.90909,   0.40000,   0.20000,   1.58031,   0.97076,   1.00807
   0.90909,   0.50000,   0.20000,   1.59298,   0.98240,   1.01759
   0.90909,   0.60000,   0.20000,   1.57704,   0.99452,   1.02757
   0.90909,   0.70000,   0.20000,   1.56537,   1.00620,   1.03703
   0.90909,   0.80000,   0.20000,   1.57555,   1.01629,   1.04479
   0.83333,   0.20000,   0.20000,   1.55022,   0.86889,   0.94707
   0.83333,   0.30000,   0.20000,   1.55706,   0.87515,   0.95155
   0.83333,   0.50000,   0.20000,   1.57900,   0.89112,   0.96410
   0.83333,   0.60000,   0.20000,   1.57764,   0.89989,   0.97115
   0.83333,   0.70000,   0.20000,   1.57666,   0.90837,   0.97782
   0.83333,   0.80000,   0.20000,   1.57606,   0.91577,   0.98330
   0.76923,   0.20000,   0.20000,   1.59182,   0.79931,   0.90678
   0.76923,   0.30000,   0.20000,   1.58583,   0.80414,   0.91003
   0.76923,   0.40000,   0.20000,   1.58188,   0.80988,   0.91426
   0.76923,   0.50000,   0.20000,   1.56160,   0.81625,   0.91914
   0.76923,   0.60000,   0.20000,   1.57832,   0.82285,   0.92426
   0.76923,   0.70000,   0.20000,   1.56438,   0.82925,   0.92911
   0.76923,   0.80000,   0.20000,   1.57649,   0.83491,   0.93309
   0.71429,   0.20000,   0.20000,   1.59472,   0.74017,   0.87134
   0.71429,   0.30000,   0.20000,   1.55413,   0.74402,   0.87376
   0.71429,   0.40000,   0.20000,   1.58280,   0.74854,   0.87690
   0.71429,   0.50000,   0.20000,   1.58062,   0.75351,   0.88053
   0.71429,   0.60000,   0.20000,   1.57911,   0.75867,   0.88433
   0.71429,   0.70000,   0.20000,   1.57777,   0.76368,   0.88794
   0.71429,   0.80000,   0.20000,   1.57698,   0.76816,   0.89089
   0.66667,   0.20000,   0.20000,   1.59531,   0.68924,   0.83982
   0.66667,   0.30000,   0.20000,   1.55372,   0.69240,   0.84165
   0.66667,   0.40000,   0.20000,   1.58382,   0.69607,   0.84403
   0.66667,   0.50000,   0.20000,   1.56020,   0.70008,   0.84679
   0.66667,   0.60000,   0.20000,   1.54413,   0.70437,   0.84968
   0.66667,   0.70000,   0.20000,   1.57844,   0.70827,   0.85241
   0.66667,   0.80000,   0.20000,   1.57752,   0.71193,   0.85465
   0.62500,   0.20000,   0.20000,   1.54242,   0.64496,   0.81153
   0.62500,   0.30000,   0.20000,   1.58971,   0.64758,   0.81294
   0.62500,   0.40000,   0.20000,   1.55652,   0.65063,   0.81479
   0.62500,   0.50000,   0.20000,   1.55937,   0.65394,   0.81691
   0.62500,   0.60000,   0.20000,   1.56126,   0.65737,   0.81914
   0.62500,   0.70000,   0.20000,   1.57894,   0.66072,   0.82126
   0.62500,   0.80000,   0.20000,   1.57792,   0.66379,   0.82299
   0.58824,   0.20000,   0.20000,   1.48425,   0.60791,   0.78595
   0.58824,   0.30000,   0.20000,   1.59021,   0.60826,   0.78706
   0.58824,   0.40000,   0.20000,   1.55614,   0.61086,   0.78851
   0.58824,   0.50000,   0.20000,   1.53388,   0.61402,   0.79017
   0.58824,   0.60000,   0.20000,   1.54025,   0.61680,   0.79192
   0.58824,   0.70000,   0.20000,   1.56209,   0.61940,   0.79358
   0.58824,   0.80000,   0.20000,   1.59342,   0.62216,   0.79494
   0.55556,   0.20000,   0.20000,   1.60051,   0.57156,   0.76266
   0.55556,   0.30000,   0.20000,   1.59250,   0.57352,   0.76355
   0.55556,   0.40000,   0.20000,   1.58676,   0.57575,   0.76470
   0.55556,   0.50000,   0.20000,   1.58342,   0.57816,   0.76603
   0.55556,   0.60000,   0.20000,   1.55984,   0.58066,   0.76742
   0.55556,   0.70000,   0.20000,   1.58004,   0.58311,   0.76874
   0.55556,   0.80000,   0.20000,   1.56275,   0.58541,   0.76982
   0.52632,   0.20000,   0.20000,   1.60548,   0.54092,   0.74135
   0.52632,   0.30000,   0.20000,   1.59304,   0.54254,   0.74206
   0.52632,   0.40000,   0.20000,   1.62302,   0.54537,   0.74299
   0.52632,   0.60000,   0.20000,   1.55956,   0.54880,   0.74518
   0.52632,   0.70000,   0.20000,   1.56090,   0.55096,   0.74624
   0.52632,   0.80000,   0.20000,   1.57960,   0.55299,   0.74711
   0.50000,   0.20000,   0.20000,   1.53518,   0.51337,   0.72174
   0.50000,   0.30000,   0.20000,   1.59357,   0.51477,   0.72232
   0.50000,   0.40000,   0.20000,   1.55278,   0.51652,   0.72307
   0.50000,   0.50000,   0.20000,   1.58561,   0.51840,   0.72394
   0.50000,   0.60000,   0.20000,   1.58281,   0.52033,   0.72486
   0.50000,   0.70000,   0.20000,   1.58132,   0.52225,   0.72572
   0.50000,   0.80000,   0.20000,   1.57982,   0.52408,   0.72643
