a/c,a/t,c/b,phi,F,Mg
   0.25000,   0.50000,   0.20000,   1.49409,   1.44553,   1.42963
   1.90000,   0.70000,   0.20000,   2.78624,   0.80225,   0.80661
   1.70000,   0.20000,   0.20000,   1.97406,   0.64619,   0.78650
   1.10000,   0.50000,   0.20000,   2.95492,   1.15130,   1.13877
   1.10000,   0.30000,   0.20000,   0.03465,   1.12798,   1.11968
   1.80000,   0.40000,   0.20000,   1.52299,   0.57640,   0.76470
   0.25000,   0.60000,   0.20000,   1.76422,   1.55737,   1.54784
   1.00000,   0.70000,   0.20000,   1.96792,   1.13484,   1.11518
   1.30000,   0.60000,   0.20000,   0.35139,   1.00511,   1.00254
   1.30000,   0.60000,   0.20000,   1.37014,   0.82849,   0.92434
   0.70000,   0.50000,   0.20000,   2.87594,   1.10577,   1.28289
   1.10000,   0.60000,   0.20000,   0.81474,   1.03444,   1.04394
   1.70000,   0.60000,   0.20000,   0.76473,   0.74377,   0.80498
   1.00000,   0.80000,   0.20000,   0.66100,   1.20383,   1.17999
   0.60000,   0.20000,   0.20000,   2.09139,   1.05943,   1.10062
   0.80000,   0.20000,   0.20000,   2.25226,   1.04219,   1.07779
   0.55000,   0.50000,   0.20000,   0.34919,   1.05256,   1.32044
   0.70000,   0.50000,   0.20000,   1.31537,   1.16927,   1.16441
   0.25000,   0.30000,   0.20000,   2.33744,   1.07937,   1.24474
   1.90000,   0.60000,   0.20000,   0.58877,   0.73353,   0.76969
   0.20000,   0.30000,   0.20000,   2.51994,   1.00868,   1.28757
   1.70000,   0.80000,   0.20000,   0.68917,   0.77414,   0.81937
   0.45000,   0.80000,   0.20000,   1.02524,   1.40462,   1.46257
   1.20000,   0.30000,   0.20000,   2.09106,   0.89999,   0.95365
   2.00000,   0.50000,   0.20000,   0.13189,   0.80984,   0.80244
   1.60000,   0.70000,   0.20000,   0.24909,   0.92527,   0.91786
   1.40000,   0.20000,   0.20000,   2.81450,   0.90818,   0.91549
   2.00000,   0.30000,   0.20000,   2.09922,   0.59418,   0.72387
   0.45000,   0.80000,   0.20000,   2.13724,   1.39939,   1.46413
   0.55000,   0.60000,   0.20000,   0.20368,   1.11856,   1.45276
   1.50000,   0.50000,   0.20000,   0.85800,   0.78648,   0.85474
   0.50000,   0.50000,   0.20000,   1.65338,   1.25873,   1.24476
   1.80000,   0.40000,   0.20000,   2.01673,   0.62883,   0.76566
   0.55000,   0.30000,   0.20000,   2.10679,   1.09127,   1.13894
   1.60000,   0.70000,   0.20000,   1.16779,   0.69813,   0.82235
   0.20000,   0.20000,   0.20000,   1.95654,   1.14251,   1.17915
   0.90000,   0.20000,   0.20000,   0.21679,   1.08402,   1.13394
   1.60000,   0.60000,   0.20000,   2.25065,   0.74776,   0.82638
   0.30000,   0.80000,   0.20000,   0.51952,   1.38157,   1.80864
   2.00000,   0.70000,   0.20000,   0.26248,   0.80327,   0.79965
   0.90000,   0.70000,   0.20000,   2.69933,   1.21738,   1.24781
   0.80000,   0.30000,   0.20000,   0.97088,   1.06746,   1.09233
   1.90000,   0.80000,   0.20000,   0.27791,   0.83786,   0.83284
   1.10000,   0.50000,   0.20000,   0.59146,   1.05185,   1.05335
   0.80000,   0.80000,   0.20000,   2.53769,   1.21502,   1.27719
   0.40000,   0.60000,   0.20000,   0.39655,   1.10689,   1.49204
   0.30000,   0.70000,   0.20000,   0.28923,   1.16411,   1.79753
   1.20000,   0.80000,   0.20000,   1.49181,   0.91639,   0.98330
   1.40000,   0.80000,   0.20000,   2.28118,   0.84953,   0.90445
   0.70000,   0.80000,   0.20000,   2.14347,   1.24028,   1.26604
   0.50000,   0.70000,   0.20000,   1.58289,   1.37851,   1.35467
   0.50000,   0.60000,   0.20000,   2.51506,   1.15741,   1.35071
   1.00000,   0.80000,   0.20000,   1.48078,   1.14837,   1.12563
   0.30000,   0.80000,   0.20000,   1.01562,   1.59688,   1.68356
   1.00000,   0.30000,   0.20000,   1.09697,   1.06689,   1.05898
   1.50000,   0.80000,   0.20000,   2.92813,   1.00063,   0.98703
   1.50000,   0.80000,   0.20000,   0.47184,   0.90849,   0.91806
   0.55000,   0.20000,   0.20000,   1.61648,   1.11092,   1.10583
   1.90000,   0.70000,   0.20000,   2.42217,   0.70643,   0.76276
   0.30000,   0.70000,   0.20000,   2.91821,   1.13321,   1.83828
   0.25000,   0.80000,   0.20000,   1.20062,   1.76319,   1.78577
   1.40000,   0.70000,   0.20000,   2.74687,   0.96150,   0.96277
   1.00000,   0.80000,   0.20000,   0.62682,   1.21196,   1.18796
   0.20000,   0.80000,   0.20000,   1.81878,   1.95093,   1.94099
   0.70000,   0.60000,   0.20000,   2.95288,   1.17915,   1.37600
   1.60000,   0.60000,   0.20000,   0.44156,   0.85464,   0.86716
   0.60000,   0.80000,   0.20000,   0.18386,   1.28679,   1.60501
   0.70000,   0.60000,   0.20000,   2.79588,   1.14935,   1.31568
   1.60000,   0.50000,   0.20000,   2.96904,   0.91079,   0.90361
   1.90000,   0.60000,   0.20000,   0.23560,   0.82203,   0.81801
   2.00000,   0.70000,   0.20000,   2.78712,   0.77835,   0.78319
   0.60000,   0.70000,   0.20000,   0.36110,   1.18540,   1.43034
   1.10000,   0.30000,   0.20000,   2.34435,   0.99438,   1.01023
   1.70000,   0.40000,   0.20000,   1.30680,   0.62966,   0.78863
   1.40000,   0.40000,   0.20000,   2.73561,   0.91274,   0.92185
   0.40000,   0.50000,   0.20000,   2.04242,   1.25940,   1.30447
   0.45000,   0.20000,   0.20000,   1.38897,   1.12019,   1.12205
   2.00000,   0.70000,   0.20000,   0.67169,   0.69577,   0.74495
   2.00000,   0.50000,   0.20000,   0.22415,   0.78925,   0.78689
   0.30000,   0.80000,   0.20000,   2.80746,   1.28686,   1.91592
   1.90000,   0.30000,   0.20000,   0.66167,   0.70230,   0.75492
   0.20000,   0.60000,   0.20000,   0.08736,   0.92227,   1.94819
   0.20000,   0.60000,   0.20000,   0.89527,   1.49561,   1.65737
