a/c,a/t,c/b,phi,F,Mg
   0.20000,   0.20000,   0.20000,   1.55436,   1.18420,   1.17842
   0.20000,   0.30000,   0.20000,   1.55984,   1.26807,   1.25871
   0.20000,   0.40000,   0.20000,   1.57941,   1.37959,   1.36597
   0.20000,   0.50000,   0.20000,   1.59125,   1.51367,   1.49510
   0.20000,   0.60000,   0.20000,   1.56513,   1.66418,   1.63950
   0.20000,   0.70000,   0.20000,   1.57561,   1.82267,   1.79110
   0.20000,   0.80000,   0.20000,   1.57510,   1.97960,   1.94040
   0.25000,   0.20000,   0.20000,   1.59057,   1.16973,   1.16406
   0.25000,   0.30000,   0.20000,   1.58449,   1.24121,   1.23206
   0.25000,   0.40000,   0.20000,   1.56027,   1.33543,   1.32226
   0.25000,   0.50000,   0.20000,   1.56228,   1.44750,   1.42963
   0.25000,   0.60000,   0.20000,   1.57792,   1.57102,   1.54772
   0.25000,   0.70000,   0.20000,   1.57693,   1.69806,   1.66866
   0.25000,   0.80000,   0.20000,   1.57619,   1.81914,   1.78312
   0.30000,   0.20000,   0.20000,   1.49375,   1.15587,   1.15172
   0.30000,   0.30000,   0.20000,   1.55445,   1.21911,   1.21015
   0.30000,   0.40000,   0.20000,   1.58357,   1.30013,   1.28732
   0.30000,   0.50000,   0.20000,   1.56081,   1.39585,   1.37863
   0.30000,   0.60000,   0.20000,   1.57931,   1.50037,   1.47813
   0.30000,   0.70000,   0.20000,   1.56360,   1.60637,   1.57856
   0.30000,   0.80000,   0.20000,   1.57719,   1.70510,   1.67134
   0.35000,   0.20000,   0.20000,   1.60066,   1.14627,   1.14083
   0.35000,   0.30000,   0.20000,   1.59070,   1.20028,   1.19149
   0.35000,   0.40000,   0.20000,   1.58572,   1.27072,   1.25822
   0.35000,   0.50000,   0.20000,   1.55880,   1.35351,   1.33682
   0.35000,   0.60000,   0.20000,   1.58075,   1.44329,   1.42190
   0.35000,   0.70000,   0.20000,   1.56222,   1.53341,   1.50687
   0.35000,   0.80000,   0.20000,   1.57826,   1.61591,   1.58392
   0.40000,   0.20000,   0.20000,   1.60071,   1.13641,   1.13101
   0.40000,   0.30000,   0.20000,   1.59322,   1.18389,   1.17524
   0.40000,   0.40000,   0.20000,   1.55441,   1.24560,   1.23335
   0.40000,   0.50000,   0.20000,   1.58459,   1.31780,   1.30156
   0.40000,   0.60000,   0.20000,   1.58200,   1.39566,   1.37498
   0.40000,   0.70000,   0.20000,   1.58023,   1.47312,   1.44763
   0.40000,   0.80000,   0.20000,   1.57933,   1.54300,   1.51247
   0.45000,   0.20000,   0.20000,   1.60677,   1.12729,   1.12201
   0.45000,   0.30000,   0.20000,   1.59647,   1.16933,   1.16082
   0.45000,   0.40000,   0.20000,   1.58876,   1.22372,   1.21170
   0.45000,   0.50000,   0.20000,   1.58576,   1.28710,   1.27124
   0.45000,   0.60000,   0.20000,   1.58362,   1.35507,   1.33501
   0.45000,   0.70000,   0.20000,   1.58136,   1.42221,   1.39760
   0.45000,   0.80000,   0.20000,   1.58024,   1.48197,   1.45265
   0.50000,   0.20000,   0.20000,   1.60710,   1.11892,   1.11367
   0.50000,   0.30000,   0.20000,   1.59672,   1.15626,   1.14784
   0.50000,   0.40000,   0.20000,   1.59095,   1.20438,   1.19257
   0.50000,   0.50000,   0.20000,   1.58729,   1.26028,   1.24476
   0.50000,   0.60000,   0.20000,   1.58475,   1.31996,   1.30042
   0.50000,   0.70000,   0.20000,   1.58289,   1.37851,   1.35467
   0.50000,   0.80000,   0.20000,   1.58146,   1.43003,   1.40174
   0.55000,   0.20000,   0.20000,   1.61648,   1.11092,   1.10583
   0.55000,   0.30000,   0.20000,   1.60123,   1.14430,   1.13600
   0.55000,   0.40000,   0.20000,   1.59362,   1.18706,   1.17543
   0.55000,   0.50000,   0.20000,   1.58905,   1.23655,   1.22133
   0.55000,   0.60000,   0.20000,   1.58600,   1.28918,   1.27010
   0.55000,   0.70000,   0.20000,   1.58383,   1.34052,   1.31733
   0.55000,   0.80000,   0.20000,   1.58220,   1.38524,   1.35783
   0.60000,   0.20000,   0.20000,   1.61657,   1.10350,   1.09842
   0.60000,   0.30000,   0.20000,   1.60129,   1.13333,   1.12510
   0.60000,   0.40000,   0.20000,   1.54783,   1.17140,   1.15992
   0.60000,   0.50000,   0.20000,   1.59111,   1.21532,   1.20038
   0.60000,   0.60000,   0.20000,   1.58741,   1.26189,   1.24322
   0.60000,   0.70000,   0.20000,   1.58485,   1.30710,   1.28450
   0.60000,   0.80000,   0.20000,   1.58298,   1.34615,   1.31952
   0.65000,   0.20000,   0.20000,   1.61686,   1.09643,   1.09135
   0.65000,   0.30000,   0.20000,   1.60763,   1.12306,   1.11495
   0.65000,   0.40000,   0.20000,   1.59709,   1.15706,   1.14574
