a/c,a/t,c/b,phi,F,Mg
0.2,0.3,0.1,1.80193,1.23707,1.25084
1.2,0.6,0.15,0.2956,1.08676,1.0848
0.45,0.7,0.3,1.0516,1.3427,1.36263
1.8,0.5,0.01,2.55494,0.74155,0.787
1.2,0.3,0.01,1.96027,0.88207,0.9515
1.6,0.8,0.1,0.74989,0.79404,0.85866
0.25,0.4,0.1,0.5883,1.01751,1.31847
1.1,0.3,0.15,1.95585,0.96626,1.00186
0.3,0.7,0.15,2.40419,1.40756,1.65644
0.3,0.3,0.05,0.76485,1.0223,1.19969
1.2,0.7,0.2,2.40368,1.00727,1.02735
0.2,0.8,0.2,1.49721,1.88362,1.84872
0.3,0.8,0.15,2.8368,1.28905,1.97952
0.6,0.6,0.15,1.78897,1.20542,1.2045
1.2,0.8,0.15,1.05167,0.95122,1.00427
0.3,0.4,0.2,2.08878,1.20294,1.26863
0.9,0.6,0.15,0.60423,1.14849,1.17881
1.4,0.7,0.01,2.54804,0.90099,0.9392
0.5,0.2,0.05,2.89435,0.88487,1.20038
1.8,0.7,0.15,2.54791,0.76498,0.80514
0.55,0.6,0.2,2.41531,1.16264,1.29598
1.9,0.3,0.05,0.02205,0.81697,0.81666
0.8,0.8,0.2,1.94989,1.17871,1.17006
1.0,0.8,0.05,0.9005,1.15321,1.15179
0.2,0.7,0.2,0.90219,1.67695,1.84887
0.55,0.6,0.01,0.76595,1.15189,1.28897
0.6,0.5,0.3,1.96575,1.17739,1.17339
0.6,0.8,0.3,1.05249,1.28955,1.28559
1.5,0.7,0.15,1.50226,0.70288,0.85123
1.9,0.5,0.15,2.39746,0.69017,0.75803
1.5,0.5,0.2,0.74538,0.82015,0.87204
1.2,0.4,0.05,0.14666,1.07143,1.07252
1.0,0.2,0.1,1.65261,1.04301,1.04172
0.8,0.5,0.01,1.34745,1.10236,1.10725
0.5,0.8,0.05,1.64559,1.29693,1.29669
2.0,0.8,0.05,2.4041,0.67534,0.74809
0.55,0.6,0.1,2.41531,1.15301,1.29978
1.3,0.7,0.05,0.90036,0.88007,0.94489
0.8,0.5,0.15,2.39877,1.09556,1.14869
0.2,0.3,0.1,2.10858,1.16055,1.24557
0.4,0.6,0.2,2.83423,1.07536,1.51853
0.25,0.8,0.15,1.65179,1.69215,1.6759
1.0,0.4,0.1,1.49363,1.06632,1.06369
0.9,0.4,0.1,0.14692,1.15586,1.21385
1.3,0.5,0.1,2.39362,0.90098,0.94646
1.5,0.6,0.2,1.20722,0.73575,0.85575
1.1,0.6,0.15,0.75549,1.04811,1.06172
0.35,0.5,0.2,0.89291,1.21366,1.33247
0.55,0.3,0.2,0.08457,0.97387,1.29813
0.6,0.8,0.01,2.40037,1.22533,1.36367
0.4,0.6,0.3,1.94975,1.34016,1.33542
0.4,0.5,0.05,1.80796,1.26027,1.27433
0.9,0.6,0.05,2.40521,1.12306,1.15335
0.7,0.6,0.2,0.89823,1.1493,1.19643
0.55,0.3,0.3,2.95844,0.95452,1.24247
1.3,0.8,0.01,2.70209,1.01577,1.03541
0.25,0.5,0.3,0.90704,1.30823,1.41955
0.9,0.8,0.01,0.29948,1.28213,1.34461
0.6,0.7,0.3,2.56565,1.21374,1.35436
0.3,0.8,0.3,1.19872,1.61083,1.58882
0.5,0.8,0.01,2.71605,1.2356,1.57593
0.8,0.7,0.05,1.35236,1.13697,1.14059
0.45,0.8,0.05,2.84051,1.24518,1.72108
0.7,0.3,0.2,0.01109,1.05174,1.24771
0.3,0.8,0.2,0.89342,1.55941,1.70725
0.25,0.4,0.05,0.27972,0.84918,1.40278
0.35,0.3,0.05,1.7915,1.15634,1.16829
1.3,0.6,0.05,0.30454,1.01614,1.02474
1.8,0.6,0.1,1.04562,0.64516,0.77126
1.1,0.8,0.05,1.49922,0.98244,1.02884
1.7,0.5,0.05,0.8927,0.7033,0.79737
1.4,0.7,0.1,1.49433,0.75003,0.88238
1.4,0.7,0.05,1.95203,0.78024,0.89387
1.3,0.5,0.2,0.44378,0.97406,0.98102
0.7,0.3,0.15,1.20017,1.07116,1.08532
1.4,0.5,0.1,1.20185,0.77204,0.88428
0.9,0.4,0.15,0.74554,1.07894,1.10237
1.5,0.4,0.05,1.50583,0.68587,0.8384
1.2,0.7,0.01,2.70142,1.05832,1.07348
0.6,0.5,0.1,0.16311,1.07616,1.36926
0.7,0.7,0.05,0.60254,1.16162,1.29042
1.0,0.2,0.2,2.53601,1.08411,1.07876
1.7,0.6,0.05,2.10717,0.67535,0.79578
1.3,0.4,0.01,2.25136,0.85777,0.92068
0.45,0.8,0.15,0.15651,1.2915,1.86084
0.55,0.2,0.15,1.61648,1.0896,1.08697
0.55,0.4,0.3,3.01611,1.01296,1.32364
1.7,0.5,0.1,0.7447,0.73835,0.80484
0.25,0.3,0.01,2.2654,1.07691,1.21561
0.3,0.7,0.05,2.40419,1.40036,1.66236
1.4,0.8,0.15,0.90122,0.84976,0.91905
0.7,0.4,0.15,0.14295,1.06039,1.2538
0.25,0.8,0.01,1.20062,1.67224,1.72779
0.45,0.6,0.3,2.09347,1.28016,1.30774
0.8,0.4,0.15,1.05401,1.0808,1.0998
0.45,0.4,0.05,1.95829,1.15331,1.18797
