a/c,a/t,c/b,phi,F,Mg
   0.20000,   0.20000,   0.20000,   1.57080,   1.17300,   1.16721,   1.18427
   0.20000,   0.40000,   0.20000,   1.57080,   1.35900,   1.34556,   1.37961
   0.20000,   0.40000,   0.40000,   1.57080,   1.38100,   1.32610,   1.42252
   0.20000,   0.60000,   0.20000,   1.57080,   1.64200,   1.61763,   1.66420
   0.20000,   0.60000,   0.40000,   1.57080,   1.67900,   1.57851,   1.74387
   0.20000,   0.60000,   0.60000,   1.57080,   1.76800,   1.52617,   1.89928
   0.20000,   0.80000,   0.20000,   1.57080,   1.85100,   1.81434,   1.97961
   0.20000,   0.80000,   0.40000,   1.57080,   1.89100,   1.73951,   2.10938
   0.20000,   0.80000,   0.60000,   1.57080,   2.01400,   1.64267,   2.37903
   0.20000,   0.80000,   0.80000,   1.57080,   2.24000,   1.47246,   2.95186
   0.40000,   0.20000,   0.20000,   1.57080,   1.13800,   1.13238,   1.13662
   0.40000,   0.40000,   0.20000,   1.57080,   1.22500,   1.21289,   1.24567
   0.40000,   0.60000,   0.20000,   1.57080,   1.37000,   1.34967,   1.39569
   0.40000,   0.80000,   0.20000,   1.57080,   1.44700,   1.41834,   1.54303
   0.60000,   0.20000,   0.20000,   1.57080,   1.11000,   1.10452,   1.10387
   0.60000,   0.40000,   0.20000,   1.57080,   1.14500,   1.13368,   1.17150
   0.60000,   0.60000,   0.20000,   1.57080,   1.23000,   1.21174,   1.26195
   0.60000,   0.80000,   0.20000,   1.57080,   1.26400,   1.23897,   1.34618
   1.00000,   0.20000,   0.20000,   1.57080,   1.04900,   1.04382,   1.05310
   1.00000,   0.40000,   0.20000,   1.57080,   1.06200,   1.05150,   1.08023
   1.00000,   0.40000,   0.40000,   1.57080,   1.09500,   1.05147,   1.11383
   1.00000,   0.60000,   0.20000,   1.57080,   1.10700,   1.09057,   1.11541
   1.00000,   0.60000,   0.40000,   1.57080,   1.13800,   1.06989,   1.16881
   1.00000,   0.60000,   0.60000,   1.57080,   1.21500,   1.04881,   1.27297
   1.00000,   0.80000,   0.20000,   1.57080,   1.11200,   1.08998,   1.14837
   1.00000,   0.80000,   0.40000,   1.57080,   1.12800,   1.03764,   1.22365
   1.00000,   0.80000,   0.60000,   1.57080,   1.18500,   0.96651,   1.38008
   1.00000,   0.80000,   0.80000,   1.57080,   1.30800,   0.85981,   1.71237
